id,name,num_bedrooms,bedroom_type,num_of_beds,num_of_bathrooms,bathroom_type,host_name,borough,neighborhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
51864768,Hotel in New York,1,bedroom,2,1,private,Millennium Broadway,Manhattan,Theater District,40.75755,-73.98573,Private room,185,1,761,2024-01-05,27.88,6,0,463,Exempt
35545434,Boutique hotel in New York,1,bedroom,1,1,private,Chelsea Inn Hotel,Manhattan,Chelsea,40.73968,-73.99494,Private room,145,1,717,2024-01-05,14.61,5,0,90,Exempt
51864614,Hotel in New York,1,bedroom,1,1,private,Millennium Broadway,Manhattan,Theater District,40.75593,-73.98531,Private room,153,1,341,2024-01-05,12.18,6,0,292,Exempt
54068618,Condo in New York,1,bedroom,1,1,shared,Trenton,Manhattan,East Harlem,40.80582,-73.93971,Private room,60,1,132,2024-01-05,5.4,1,216,70,OSE-STRREG-0000691
29831517,Home in Brooklyn,1,bedroom,1,1,private,Rena,Brooklyn,Canarsie,40.64438,-73.89096,Private room,71,2,325,2024-01-05,5.25,1,136,62,OSE-STRREG-0000173
993465561394161427,Townhouse in Brooklyn,1, Studio ,1,1,bath,Emmanuel,Brooklyn,East Flatbush,40.63739,-73.9363578,Private room,88,2,7,2024-01-05,5,1,358,7,OSE-STRREG-0000787
965995992034672989,Rental unit in Brooklyn,1,bedroom,1,1,private,Mia,Brooklyn,Bedford-Stuyvesant,40.69101445131023,-73.92597219,Private room,105,5,10,2024-01-05,4.92,4,179,10,Exempt
752921953355238932,Home in Brooklyn,1,bedroom,2,1,private,Menachem,Brooklyn,Flatbush,40.63294,-73.96509,Private room,146,2,66,2024-01-05,4.66,2,0,55,OSE-STRREG-0000540
53281228,Rental unit in New York,1,bedroom,2,1,shared,Koichi,Manhattan,Gramercy,40.73513,-73.98785,Private room,60,5,115,2024-01-05,4.49,21,32,55,Exempt
968982002561156213,Home in Queens,1,bedroom,1,1,private,Damian,Queens,Jamaica,40.68430635811176,-73.76161844,Private room,130,1,6,2024-01-05,4.29,1,268,6,OSE-STRREG-0000780
984080421048260108,Rental unit in New York,2,bedrooms,2,2,baths,J,Manhattan,Hell's Kitchen,40.75963358913929,-73.99949139,Entire home/apt,431,3,12,2024-01-05,4.19,1,242,12,OSE-STRREG-0009871
678213347614482633,Guest suite in Queens,2,bedrooms,3,1,bath,Naomi,Queens,Arverne,40.59614,-73.7942,Entire home/apt,95,1,71,2024-01-05,4.06,1,166,45,OSE-STRREG-0000478
836143712015846264,Rental unit in New York,1,bedroom,1,1,bath,Mint House At 70 Pine,Manhattan,Financial District,40.70704593959269,-74.00860779,Entire home/apt,282,1,222,2024-01-05,4,8,347,33,Exempt
713696585074780233,Townhouse in Astoria,1,bedroom,1,1,private,Spencer,Queens,Ditmars Steinway,40.77272,-73.90865,Private room,100,2,61,2024-01-05,3.98,1,195,46,OSE-STRREG-0000617
43856156,Rental unit in Queens,1,bedroom,2,1,bath,Ayana,Queens,St. Albans,40.6881946,-73.7651839,Entire home/apt,87,1,73,2024-01-05,3.71,1,333,20,OSE-STRREG-0000960
1024522362445614610,Rental unit in New York,1,bedroom,1,1,bath,Ayodeji,Manhattan,Harlem,40.81434181084179,-73.94263599,Private room,90,1,5,2024-01-05,3.33,5,88,5,Exempt
955842473362618091,Guesthouse in Brooklyn,1,bedroom,2,1,bath,BnB,Brooklyn,Sunset Park,40.63493,-74.01232,Entire home/apt,170,1,10,2024-01-05,3.13,1,273,10,Exempt
1030485845671429046,Rental unit in New York,3,bedrooms,5,2,baths,Manuel,Manhattan,West Village,40.73676274511384,-73.99907621,Entire home/apt,471,5,4,2024-01-05,3.08,1,323,4,Exempt
18473439,Townhouse in Brooklyn,1,bedroom,1,1,shared,Jason,Brooklyn,Borough Park,40.63955,-73.98251,Private room,50,2,229,2024-01-05,2.83,2,0,46,OSE-STRREG-0000007
1015390252345027742,Rental unit in Queens,1,bedroom,2,1,bath,Eugene,Queens,Astoria,40.7645,-73.91758,Entire home/apt,149,5,4,2024-01-05,2.5,1,55,4,Exempt
40080502,Tiny home in Brooklyn,1,bedroom,2,1,private,Sheila,Brooklyn,Bedford-Stuyvesant,40.68448,-73.94401,Private room,73,2,121,2024-01-05,2.47,1,121,49,OSE-STRREG-0000983
37325442,Home in The Bronx,1,bedroom,1,2.5,baths,Tuan,Bronx,Allerton,40.86237,-73.85278,Private room,82,2,124,2024-01-05,2.36,2,317,43,OSE-STRREG-0000011
32171100,Condo in New York,1,bedroom,1,1,shared,Josefina,Manhattan,Washington Heights,40.83661,-73.94282,Private room,110,5,133,2024-01-05,2.26,1,301,34,OSE-STRREG-0000570
